insertId,jsonPayload.levelname,jsonPayload.message,"'labels.""compute.googleapis.com/resource_id""","'labels.""compute.googleapis.com/resource_name""","'labels.""compute.googleapis.com/zone""","'labels.""ml.googleapis.com/endpoint""","'labels.""ml.googleapis.com/job_id/log_area""","'labels.""ml.googleapis.com/job_state""","'labels.""ml.googleapis.com/tpu_worker_id""","'labels.""ml.googleapis.com/trial_id""","'labels.""ml.googleapis.com/trial_type""",logName,receiveLocation,receiveTimestamp,resource.labels.job_id,resource.labels.project_id,resource.labels.task_name,resource.type,severity,textPayload,timestamp
1eiegerd8eiw,,,,,,,,SUCCEEDED,,,,"'projects/my-quantum-project-469717/logs/ml.googleapis.com%2F3952006340573921280",,"'2025-08-24T09:16:05.329473017Z",3952006340573921280,"'my-quantum-project-469717",service,ml_job,INFO,Job completed successfully.,"'2025-08-24T09:16:04.316869894Z"
1eiegerd8eiu,,,,,,,,,,,,"'projects/my-quantum-project-469717/logs/ml.googleapis.com%2F3952006340573921280",,"'2025-08-24T09:16:05.329473017Z",3952006340573921280,"'my-quantum-project-469717",service,ml_job,INFO,Finished tearing down training program.,"'2025-08-24T09:16:03.988568811Z"
1eiegerd8ee3,,,,,,,,,,,,"'projects/my-quantum-project-469717/logs/ml.googleapis.com%2F3952006340573921280",,"'2025-08-24T09:15:25.272728052Z",3952006340573921280,"'my-quantum-project-469717",service,ml_job,INFO,Tearing down training program.,"'2025-08-24T09:15:24.128560555Z"
ixcegcf1q8l02,INFO,All artifacts written to: outputs/,3612657455697717470,"'gk3-cml-0823-133155-04c0-nap-1gjk9q0n-53db8529-p7sb","'us-central1-f",,root,,,,,"'projects/my-quantum-project-469717/logs/workerpool0-0",,"'2025-08-24T09:15:01.836656041Z",3952006340573921280,"'my-quantum-project-469717","'workerpool0-0",ml_job,INFO,,"'2025-08-24T09:14:59.056262982Z"
ixcegcf1q8l01,INFO,,3612657455697717470,"'gk3-cml-0823-133155-04c0-nap-1gjk9q0n-53db8529-p7sb","'us-central1-f",,root,,,,,"'projects/my-quantum-project-469717/logs/workerpool0-0",,"'2025-08-24T09:15:01.836656041Z",3952006340573921280,"'my-quantum-project-469717","'workerpool0-0",ml_job,INFO,,"'2025-08-24T09:14:59.056256604Z"
ixcegcf1q8l00,INFO,"'  New best cost (p=3): 4816.942135",3612657455697717470,"'gk3-cml-0823-133155-04c0-nap-1gjk9q0n-53db8529-p7sb","'us-central1-f",,root,,,,,"'projects/my-quantum-project-469717/logs/workerpool0-0",,"'2025-08-24T09:15:01.836656041Z",3952006340573921280,"'my-quantum-project-469717","'workerpool0-0",ml_job,INFO,,"'2025-08-24T09:14:59.056250603Z"
ixcegcf1q8kzz,INFO,"'    [p=3] eval=296 cost=4816.942135",3612657455697717470,"'gk3-cml-0823-133155-04c0-nap-1gjk9q0n-53db8529-p7sb","'us-central1-f",,root,,,,,"'projects/my-quantum-project-469717/logs/workerpool0-0",,"'2025-08-24T09:15:01.836656041Z",3952006340573921280,"'my-quantum-project-469717","'workerpool0-0",ml_job,INFO,,"'2025-08-24T09:14:59.056243673Z"
ixcegcf1q8kzy,INFO,"'    [p=3] eval=295 cost=-12658.720267",3612657455697717470,"'gk3-cml-0823-133155-04c0-nap-1gjk9q0n-53db8529-p7sb","'us-central1-f",,root,,,,,"'projects/my-quantum-project-469717/logs/workerpool0-0",,"'2025-08-24T09:15:01.836656041Z",3952006340573921280,"'my-quantum-project-469717","'workerpool0-0",ml_job,INFO,,"'2025-08-24T09:14:59.056237627Z"
ixcegcf1q8kzx,INFO,"'    [p=3] eval=294 cost=1157.104738",3612657455697717470,"'gk3-cml-0823-133155-04c0-nap-1gjk9q0n-53db8529-p7sb","'us-central1-f",,root,,,,,"'projects/my-quantum-project-469717/logs/workerpool0-0",,"'2025-08-24T09:15:01.836656041Z",3952006340573921280,"'my-quantum-project-469717","'workerpool0-0",ml_job,INFO,,"'2025-08-24T09:14:59.056231640Z"
ixcegcf1q8kzw,INFO,"'    [p=3] eval=293 cost=7476.228998",3612657455697717470,"'gk3-cml-0823-133155-04c0-nap-1gjk9q0n-53db8529-p7sb","'us-central1-f",,root,,,,,"'projects/my-quantum-project-469717/logs/workerpool0-0",,"'2025-08-24T09:15:01.836656041Z",3952006340573921280,"'my-quantum-project-469717","'workerpool0-0",ml_job,INFO,,"'2025-08-24T09:14:59.056225598Z"
ixcegcf1q8kzv,INFO,"'    [p=3] eval=292 cost=2299.688283",3612657455697717470,"'gk3-cml-0823-133155-04c0-nap-1gjk9q0n-53db8529-p7sb","'us-central1-f",,root,,,,,"'projects/my-quantum-project-469717/logs/workerpool0-0",,"'2025-08-24T09:15:01.836656041Z",3952006340573921280,"'my-quantum-project-469717","'workerpool0-0",ml_job,INFO,,"'2025-08-24T09:14:59.056219593Z"
ixcegcf1q8kzu,INFO,"'    [p=3] eval=291 cost=3808.850456",3612657455697717470,"'gk3-cml-0823-133155-04c0-nap-1gjk9q0n-53db8529-p7sb","'us-central1-f",,root,,,,,"'projects/my-quantum-project-469717/logs/workerpool0-0",,"'2025-08-24T09:15:01.836656041Z",3952006340573921280,"'my-quantum-project-469717","'workerpool0-0",ml_job,INFO,,"'2025-08-24T09:14:59.056213550Z"
